,Date,Tidal_Variation,Waves,Current_Speed,Direction_of_Flow,Dredging_Requirement,Depth,Siltation_Amount,Ships_Frequency,Heavy_Rainfall,Channel
0,2017-01-01,2.39,1.19,1.13,1,2,13.24,1.07,13,0,1
1,2017-01-02,0.89,0.46,1.98,1,0,12.16,1.85,10,1,2
2,2017-01-03,1.97,2.38,1.51,1,0,15.44,1.8,22,0,1
3,2017-01-04,2.05,2.11,2.08,1,0,8.99,2.16,24,0,1
4,2017-01-05,4.04,1.42,1.35,1,2,8.6,2.04,17,0,1
5,2017-01-06,1.57,0.83,0.29,1,2,8.39,2.05,6,1,2
6,2017-01-07,3.95,1.57,0.31,0,1,9.55,2.02,23,0,2
7,2017-01-08,3.37,2.01,2.48,0,2,18.38,1.37,28,0,2
8,2017-01-09,0.77,1.34,1.02,0,2,9.18,2.48,18,0,2
9,2017-01-10,1.44,0.23,1.94,1,0,9.02,2.38,16,1,2
10,2017-01-11,4.72,0.45,2.24,1,0,18.82,1.22,18,1,2
11,2017-01-12,2.0,1.01,1.95,0,2,8.26,2.74,28,0,2
12,2017-01-13,0.96,2.53,0.5,0,1,8.63,2.72,19,1,2
13,2017-01-14,1.07,0.67,0.28,0,1,13.27,1.95,9,1,2
14,2017-01-15,1.8,2.53,2.17,0,2,9.39,2.8,19,0,1
15,2017-01-16,2.05,2.89,1.23,0,2,8.22,2.25,26,1,2
16,2017-01-17,0.23,1.69,1.24,0,2,13.33,1.27,27,1,1
17,2017-01-18,3.51,0.77,1.47,1,2,14.69,1.69,25,1,2
18,2017-01-19,1.35,1.3,0.87,0,1,9.02,2.41,16,1,2
19,2017-01-20,4.34,0.8,0.66,1,2,10.15,2.1,16,1,1
20,2017-01-21,0.93,2.48,1.17,0,2,8.47,2.87,22,0,1
21,2017-01-22,2.81,2.1,2.28,1,0,18.25,1.05,21,0,1
22,2017-01-23,4.78,1.34,0.19,0,1,8.69,2.91,20,1,2
23,2017-01-24,3.28,1.45,0.86,1,2,19.23,1.21,17,1,2
24,2017-01-25,4.21,0.41,1.63,0,2,10.13,2.49,23,0,1
25,2017-01-26,2.02,1.11,0.14,1,2,18.11,1.76,20,0,1
26,2017-01-27,4.64,0.91,2.05,0,2,15.48,1.9,16,1,2
27,2017-01-28,3.36,0.67,1.88,0,2,14.88,1.93,23,0,2
28,2017-01-29,4.53,1.27,2.48,1,0,17.67,1.26,8,1,2
29,2017-01-30,2.7,1.88,0.69,0,1,8.19,2.29,26,1,2
30,2017-01-31,1.51,1.98,0.87,1,2,10.92,2.88,23,0,1
31,2017-02-01,1.1,0.84,0.34,1,2,16.34,1.83,13,0,2
32,2017-02-02,1.95,1.76,1.18,1,2,15.48,1.4,16,1,1
33,2017-02-03,3.43,1.17,0.57,1,2,9.66,2.19,10,1,1
